,Make,Model,Year,Price,Cylinders,Transmission,Fuel Type,Rank,Other,Fuel Type=2.0,Other=0.0,Price_bin=40k+,Transmission=1.0,Year_bin=<1990,Fuel Type=2.0 & Other=0.0,Fuel Type=2.0 & Transmission=1.0,Fuel Type=2.0 & Year_bin=<1990,Other=0.0 & Price_bin=40k+,Other=0.0 & Transmission=1.0,Other=0.0 & Year_bin=<1990,Transmission=1.0 & Year_bin=<1990,Fuel Type=2.0 & Other=0.0 & Transmission=1.0,Fuel Type=2.0 & Other=0.0 & Year_bin=<1990,Fuel Type=2.0 & Transmission=1.0 & Year_bin=<1990,Other=0.0 & Transmission=1.0 & Year_bin=<1990,Fuel Type=2.0 & Other=0.0 & Transmission=1.0 & Year_bin=<1990
29,0.4979926489723148,0.962574092717102,1.7269519066949672,162913,8,0.0,2.0,5.0,0.0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0
30,2.8219583441764504,2.474116222686926,2.2450374787034573,292855,6,1.0,2.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,2.213300662099177,1.4965019097711194,1.0361711440169803,494348,8,1.0,2.0,3.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,2.213300662099177,2.872682057952601,2.2450374787034573,436570,8,1.0,2.0,4.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,1.6599754965743827,3.098285360933172,2.2450374787034573,12803,6,1.0,2.0,5.0,0.0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
34,1.217315364154547,0.4361663857624368,2.9358182413814444,134183,4,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,0.7193227151822325,0.8347322210281118,2.9358182413814444,31252,8,1.0,2.0,5.0,0.0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
36,2.9326233772814096,2.511716773183688,0.1726951906694967,442922,12,1.0,2.0,3.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,2.213300662099177,0.8723327715248737,0.5180855720084901,85739,4,1.0,2.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,2.600628277966533,0.4512066059611415,2.9358182413814444,35378,4,1.0,2.0,3.0,0.0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
39,0.8853202648396707,1.2182578360950822,2.2450374787034573,183374,6,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,2.600628277966533,2.504196663084336,2.0723422880339606,139466,6,0.0,2.0,4.0,0.0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0
41,0.3319950993148765,0.293284293874742,1.7269519066949672,50460,6,1.0,2.0,3.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,1.327980397259506,1.9928291763283752,2.590427860042451,49724,4,1.0,2.0,3.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,2.213300662099177,2.872682057952601,0.1726951906694967,49519,8,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,1.715308013126862,3.353969104311152,2.763123050711948,1568997,6,1.0,2.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,2.8219583441764504,0.7896115604319976,2.4177326693729544,74335,6,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,2.489963244861574,2.451555892388869,1.381561525355974,40762,6,1.0,2.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,0.7193227151822325,0.8272121109287595,3.108513432050941,130555,8,1.0,2.0,2.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,2.213300662099177,0.6467294685443029,1.5542567160254706,120941,4,1.0,2.0,4.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,2.8219583441764504,0.7896115604319976,1.5542567160254706,68719,8,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,0.4979926489723148,3.038124480138353,0.6907807626779869,159025,8,1.0,2.0,4.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,2.8219583441764504,0.7896115604319976,0.5180855720084901,1055578,8,1.0,2.0,4.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,2.4346307283090947,0.9400137624190448,1.0361711440169803,85706,4,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,2.213300662099177,1.4965019097711194,0.3453903813389934,1164907,8,1.0,2.0,4.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,2.600628277966533,2.504196663084336,1.0361711440169803,129092,6,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,0.1106650331049588,2.767400516561668,1.0361711440169803,302938,12,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,0.8853202648396707,1.361139927982777,0.8634759533474836,289114,6,1.0,0.0,2.0,0.0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0
57,1.1066503310495883,3.647253398185894,1.381561525355974,303404,8,1.0,2.0,2.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,0.4979926489723148,0.962574092717102,2.2450374787034573,448226,8,1.0,2.0,3.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,2.87729086072893,1.1656170653996156,2.763123050711948,39249,4,1.0,2.0,5.0,0.0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
60,3.430616026253724,3.2562076730195715,1.2088663346864772,26449,4,1.0,2.0,2.0,0.0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
61,0.4979926489723148,0.7144104594384741,0.5180855720084901,101280,6,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,1.6599754965743827,3.128365801330581,0.6907807626779869,27993,4,1.0,2.0,3.0,0.0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
63,2.8219583441764504,0.7896115604319976,3.108513432050941,26689,8,1.0,2.0,3.0,0.0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
64,1.8259730462318209,2.083070497520604,3.108513432050941,22063,8,1.0,2.0,3.0,0.0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
65,3.375283509701245,1.8273867541426232,0.5180855720084901,92960,4,1.0,2.0,4.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,2.600628277966533,0.4512066059611415,1.5542567160254706,50305,4,1.0,2.0,5.0,1.0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0
67,1.7706405296793415,2.729799966064906,0.8634759533474836,147413,8,1.0,2.0,2.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,2.213300662099177,2.872682057952601,2.0723422880339606,41108,8,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,3.264618476596286,1.9777889561296704,0.5180855720084901,26485,4,1.0,2.0,5.0,0.0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
70,3.375283509701245,2.556837433779802,0.8634759533474836,121251,6,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,1.8813055627843005,2.3537944610972885,3.281208622720438,1186097,6,1.0,2.0,4.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,1.327980397259506,0.5715283675507793,2.9358182413814444,72404,4,1.0,2.0,4.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,2.213300662099177,1.1806572855983204,0.1726951906694967,273876,6,1.0,2.0,3.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,0.3319950993148765,3.511891416397552,0.5180855720084901,211781,8,1.0,2.0,4.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,3.375283509701245,2.556837433779802,3.281208622720438,165581,6,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,0.1659975496574382,2.639558644872678,0.8634759533474836,856148,8,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,2.600628277966533,3.173486461926696,0.6907807626779869,18732,4,1.0,2.0,1.0,0.0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
78,0.2766625827623971,0.6016088079481887,0.1726951906694967,639348,12,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,1.7706405296793415,2.729799966064906,2.4177326693729544,162663,4,1.0,2.0,4.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,2.213300662099177,2.8802021680519534,1.2088663346864772,354906,8,1.0,2.0,3.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,2.0473031124417385,2.4214754519914594,1.5542567160254706,1683182,12,1.0,2.0,4.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,1.549310463469424,1.676984552155576,1.381561525355974,211822,6,1.0,2.0,2.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,2.213300662099177,1.6469041117581666,2.9358182413814444,1156447,8,1.0,2.0,2.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,3.375283509701245,2.030429726825137,1.0361711440169803,134242,6,0.0,2.0,2.0,0.0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0
85,2.213300662099177,1.631863891559462,2.763123050711948,556885,6,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,1.327980397259506,3.083245140734467,1.5542567160254706,61585,4,1.0,2.0,4.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,0.8853202648396707,0.6316892483455981,0.1726951906694967,265251,6,1.0,2.0,3.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,2.766625827623971,1.33857959768472,0.6907807626779869,31223,4,1.0,1.0,2.0,0.0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0
89,1.1066503310495883,3.647253398185894,2.9358182413814444,233453,8,1.0,2.0,2.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,3.375283509701245,1.8273867541426232,2.763123050711948,151613,4,0.0,1.0,3.0,0.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
91,0.3319950993148765,0.315844624172799,0.1726951906694967,316052,4,1.0,2.0,4.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,1.4939779469169443,1.1956975057970252,2.0723422880339606,144665,4,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93,0.1659975496574382,3.331408774013095,1.899647097364464,44472,4,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,1.7706405296793415,2.729799966064906,3.281208622720438,168761,8,1.0,2.0,2.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,1.217315364154547,0.9776143129158068,1.381561525355974,46524,4,1.0,2.0,2.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,1.4939779469169443,3.557012076993666,2.4177326693729544,78046,4,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,1.8259730462318209,2.083070497520604,1.2088663346864772,85379,8,1.0,2.0,5.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
